"elementId","contextId","unitId","fact","decimals","factId","ns","roles","scheme","identifier","startDate","endDate","dimension1","value1","dimension2","value2","dimension3","value3","dimension4","value4"
"us-gaap_FinancingReceivableAllowanceForCreditLosses","I2011_MortgagesNonImpairedMember","USD","63000000","-6","Tag1277","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13,DisclosureInvestmentsDetails13,DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2011-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_FinancingReceivableAllowanceForCreditLosses","I2010_MortgagesNonImpairedMember","USD","84000000","-6","Tag1278","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13,DisclosureInvestmentsDetails13,DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2010-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_ProvisionForLoanLeaseAndOtherLosses","D2013_MortgagesNonImpairedMember","USD","11000000","-6","Tag1279","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051","2013-01-01","2013-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_ProvisionForLoanLeaseAndOtherLosses","D2012_MortgagesNonImpairedMember","USD","5000000","-6","Tag1280","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051","2012-01-01","2012-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_ProvisionForLoanLeaseAndOtherLosses","D2011_MortgagesNonImpairedMember","USD","-37000000","-6","Tag1281","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051","2011-01-01","2011-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_FinancingReceivableAllowanceForCreditLossesWriteOffs","D2013_MortgagesNonImpairedMember","USD","8000000","-6","Tag1282","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051","2013-01-01","2013-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_FinancingReceivableAllowanceForCreditLossesWriteOffs","D2012_MortgagesNonImpairedMember","USD","16000000","-6","Tag1283","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051","2012-01-01","2012-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_FinancingReceivableAllowanceForCreditLossesWriteOffs","D2011_MortgagesNonImpairedMember","USD","58000000","-6","Tag1284","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051","2011-01-01","2011-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_FinancingReceivableReclassificationToHeldForSale","D2013_MortgagesNonImpairedMember","USD","-2000000","-6","Tag1285","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051","2013-01-01","2013-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"all_FinancingReceivableRecordedInvestmentLessThan90DaysPastDue","I2012_MortgagesNonImpairedMember","USD","21000000","-6","Tag1286","http://www.allstate.com/20131231","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_FinancingReceivableRecordedInvestmentEqualToGreaterThan90DaysPastDue","I2012_MortgagesNonImpairedMember","USD","4000000","-6","Tag1287","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_FinancingReceivableRecordedInvestmentPastDue","I2012_MortgagesNonImpairedMember","USD","25000000","-6","Tag1288","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_FinancingReceivableRecordedInvestmentCurrent","I2012_MortgagesNonImpairedMember","USD","6545000000","-6","Tag1289","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_MortgageLoansOnRealEstateCarryingAmountOfMortgages","I2012_MortgagesNonImpairedMember","USD","6570000000","-6","Tag1290","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_FinancingReceivableRecordedInvestmentCurrent","I2013_MortgagesNonImpairedMember","USD","4721000000","-6","Tag1291","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_MortgageLoansOnRealEstateCarryingAmountOfMortgages","I2013_MortgagesNonImpairedMember","USD","4721000000","-6","Tag1292","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"all_MunicipalBondsThresholdPercentage","I2013","Pure","0.05","2","Tag1293","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"all_MunicipalBondsPortfolioCarryingValuePercentage","I2012_FL","Pure","0.065","3","Tag1294","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:StatementGeographicalAxis","stpr:FL",NA,NA,NA,NA,NA,NA
"all_MunicipalBondsPortfolioCarryingValuePercentage","I2012_CA","Pure","0.081","3","Tag1295","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:StatementGeographicalAxis","stpr:CA",NA,NA,NA,NA,NA,NA
"all_MunicipalBondsPortfolioCarryingValuePercentage","I2012_TX","Pure","0.082","3","Tag1296","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:StatementGeographicalAxis","stpr:TX",NA,NA,NA,NA,NA,NA
"all_MunicipalBondsPortfolioCarryingValuePercentage","I2012_NY","Pure","0.059","3","Tag1297","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:StatementGeographicalAxis","stpr:NY",NA,NA,NA,NA,NA,NA
"all_MunicipalBondsPortfolioCarryingValuePercentage","I2013_TX","Pure","0.087","3","Tag1298","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:StatementGeographicalAxis","stpr:TX",NA,NA,NA,NA,NA,NA
"all_MunicipalBondsPortfolioCarryingValuePercentage","I2013_CA","Pure","0.080","3","Tag1299","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:StatementGeographicalAxis","stpr:CA",NA,NA,NA,NA,NA,NA
"all_MunicipalBondsPortfolioCarryingValuePercentage","I2013_FL","Pure","0.063","3","Tag1300","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:StatementGeographicalAxis","stpr:FL",NA,NA,NA,NA,NA,NA
"all_MunicipalBondsPortfolioCarryingValuePercentage","I2013_NY","Pure","0.063","3","Tag1301","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:StatementGeographicalAxis","stpr:NY",NA,NA,NA,NA,NA,NA
"all_ThresholdForDisclosurePercentage","D2013_StockholdersEquityTotalMember_CreditConcentrationRiskMember_MinimumMember","Pure","0.10","2","Tag1302","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051","2013-01-01","2013-12-31","us-gaap:ConcentrationRiskByBenchmarkAxis","us-gaap:StockholdersEquityTotalMember","us-gaap:ConcentrationRiskByTypeAxis","us-gaap:CreditConcentrationRiskMember","us-gaap:RangeAxis","us-gaap:MinimumMember",NA,NA
"us-gaap_SecuritiesLoanedNotSubjectToMasterNettingArrangement","I2012","USD","760000000","-6","Tag1303","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"us-gaap_SecuritiesLoanedNotSubjectToMasterNettingArrangement","I2013","USD","590000000","-6","Tag1304","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"all_SecuritiesLoanedInterestIncomeOnCollateralNet","D2012","USD","2000000","-6","Tag1305","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051","2012-01-01","2012-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"all_SecuritiesLoanedInterestIncomeOnCollateralNet","D2011","USD","2000000","-6","Tag1306","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051","2011-01-01","2011-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"all_SecuritiesLoanedInterestIncomeOnCollateralNet","D2013","USD","2000000","-6","Tag1307","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051","2013-01-01","2013-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"all_DebtSecuritiesBelowInvestmentGrade","I2012","USD","6620000000","-7","Tag1308","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"all_DebtSecuritiesBelowInvestmentGrade","I2013","USD","6440000000","-7","Tag1309","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"us-gaap_AssetsHeldByInsuranceRegulators","I2013","USD","258000000","-6","Tag1310","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"all_FixedIncomeSecuritiesNonIncomeProducing","I2013","USD","48000000","-6","Tag1311","http://www.allstate.com/20131231","DisclosureInvestmentsDetails14","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31",NA,NA,NA,NA,NA,NA,NA,NA
